Sexo;Unidad;Edad;Periodo;Total
Ambos sexos;Valor absoluto;Total;2023T3;24.121,0
Ambos sexos;Valor absoluto;Total;2023T2;23.819,2
Ambos sexos;Valor absoluto;Total;2023T1;23.580,5
Ambos sexos;Valor absoluto;Total;2022T4;23.487,8
Ambos sexos;Valor absoluto;Total;2022T3;23.525,9
Ambos sexos;Valor absoluto;Total;2022T2;23.387,4
Ambos sexos;Valor absoluto;Total;2022T1;23.259,4
Ambos sexos;Valor absoluto;Total;2021T4;23.288,8
Ambos sexos;Valor absoluto;Total;2021T3;23.447,7
Ambos sexos;Valor absoluto;Total;2021T2;23.215,5
Ambos sexos;Valor absoluto;Total;2021T1;22.860,7
Ambos sexos;Valor absoluto;Total;2020T4;23.064,1
Ambos sexos;Valor absoluto;Total;2020T3;22.899,8
Ambos sexos;Valor absoluto;Total;2020T2;21.975,2
Ambos sexos;Valor absoluto;Total;2020T1;22.994,2
Ambos sexos;Valor absoluto;Total;2019T4;23.158,8
Ambos sexos;Valor absoluto;Total;2019T3;23.088,7
Ambos sexos;Valor absoluto;Total;2019T2;23.035,5
Ambos sexos;Valor absoluto;Total;2019T1;22.825,4
Ambos sexos;Valor absoluto;Total;2018T4;22.868,8
Ambos sexos;Valor absoluto;Total;2018T3;22.854,0
Ambos sexos;Valor absoluto;Total;2018T2;22.834,2
Ambos sexos;Valor absoluto;Total;2018T1;22.670,3
Ambos sexos;Valor absoluto;Total;2017T4;22.765,0
Ambos sexos;Valor absoluto;Total;2017T3;22.780,9
Ambos sexos;Valor absoluto;Total;2017T2;22.727,6
Ambos sexos;Valor absoluto;Total;2017T1;22.693,3
Ambos sexos;Valor absoluto;Total;2016T4;22.745,9
Ambos sexos;Valor absoluto;Total;2016T3;22.848,3
Ambos sexos;Valor absoluto;Total;2016T2;22.875,7
Ambos sexos;Valor absoluto;Total;2016T1;22.821,0
Ambos sexos;Valor absoluto;Total;2015T4;22.873,7
Ambos sexos;Valor absoluto;Total;2015T3;22.899,5
Ambos sexos;Valor absoluto;Total;2015T2;23.015,5
Ambos sexos;Valor absoluto;Total;2015T1;22.899,4
Ambos sexos;Valor absoluto;Total;2014T4;23.026,8
Ambos sexos;Valor absoluto;Total;2014T3;22.931,7
Ambos sexos;Valor absoluto;Total;2014T2;22.975,9
Ambos sexos;Valor absoluto;Total;2014T1;22.883,9
Ambos sexos;Valor absoluto;Total;2013T4;23.070,9
Ambos sexos;Valor absoluto;Total;2013T3;23.173,4
Ambos sexos;Valor absoluto;Total;2013T2;23.207,9
Ambos sexos;Valor absoluto;Total;2013T1;23.308,4
Ambos sexos;Valor absoluto;Total;2012T4;23.360,4
Ambos sexos;Valor absoluto;Total;2012T3;23.491,9
Ambos sexos;Valor absoluto;Total;2012T2;23.489,5
Ambos sexos;Valor absoluto;Total;2012T1;23.433,0
Ambos sexos;Valor absoluto;Total;2011T4;23.440,3
Ambos sexos;Valor absoluto;Total;2011T3;23.482,5
Ambos sexos;Valor absoluto;Total;2011T2;23.466,2
Ambos sexos;Valor absoluto;Total;2011T1;23.347,3
Ambos sexos;Valor absoluto;Total;2010T4;23.377,1
Ambos sexos;Valor absoluto;Total;2010T3;23.404,4
Ambos sexos;Valor absoluto;Total;2010T2;23.406,4
Ambos sexos;Valor absoluto;Total;2010T1;23.270,5
Ambos sexos;Valor absoluto;Total;2009T4;23.225,4
Ambos sexos;Valor absoluto;Total;2009T3;23.219,8
Ambos sexos;Valor absoluto;Total;2009T2;23.293,8
Ambos sexos;Valor absoluto;Total;2009T1;23.302,6
Ambos sexos;Valor absoluto;Total;2008T4;23.262,1
Ambos sexos;Valor absoluto;Total;2008T3;23.157,1
Ambos sexos;Valor absoluto;Total;2008T2;23.032,6
Ambos sexos;Valor absoluto;Total;2008T1;22.810,4
Ambos sexos;Valor absoluto;Total;2007T4;22.659,9
Ambos sexos;Valor absoluto;Total;2007T3;22.559,6
Ambos sexos;Valor absoluto;Total;2007T2;22.354,1
Ambos sexos;Valor absoluto;Total;2007T1;22.130,8
Ambos sexos;Valor absoluto;Total;2006T4;22.014,8
Ambos sexos;Valor absoluto;Total;2006T3;21.857,8
Ambos sexos;Valor absoluto;Total;2006T2;21.726,0
Ambos sexos;Valor absoluto;Total;2006T1;21.521,3
Ambos sexos;Valor absoluto;Total;2005T4;21.369,5
Ambos sexos;Valor absoluto;Total;2005T3;21.205,6
Ambos sexos;Valor absoluto;Total;2005T2;21.129,7
Ambos sexos;Valor absoluto;Total;2005T1;20.857,4
Ambos sexos;Valor absoluto;Total;2004T4;20.667,7
Ambos sexos;Valor absoluto;Total;2004T3;20.488,9
Ambos sexos;Valor absoluto;Total;2004T2;20.266,5
Ambos sexos;Valor absoluto;Total;2004T1;20.080,0
Ambos sexos;Valor absoluto;Total;2003T4;20.017,1
Ambos sexos;Valor absoluto;Total;2003T3;19.893,5
Ambos sexos;Valor absoluto;Total;2003T2;19.639,2
Ambos sexos;Valor absoluto;Total;2003T1;19.421,2
Ambos sexos;Valor absoluto;Total;2002T4;19.224,3
Ambos sexos;Valor absoluto;Total;2002T3;19.115,3
Ambos sexos;Valor absoluto;Total;2002T2;18.870,2
Ambos sexos;Valor absoluto;Total;2002T1;18.635,1
