"fecha","Permanente","Discontinuo"
"2005T1",10158581.8099999,199673.06
"2005T2",10257865.56,199668.95
"2005T3",10280685.29,186489.97
"2005T4",10423635.5700001,190094.49
"2006T1",10536613.26,190071.55
"2006T2",10499143.4999999,206751.99
"2006T3",10626558.8,205159.76
"2006T4",10815877.6700001,221027.84
"2007T1",11146253.0699998,239853.96
"2007T2",11324599.64,266238.35
"2007T3",11422250.9899998,230175.73
"2007T4",11587177.0400002,239120.99
"2008T1",11681524.3600002,225126.64
"2008T2",11812694.3300003,237670.06
"2008T3",11743740.5400001,210875.67
"2008T4",11688295.3,219125.92
"2009T1",11774858.9000001,206324.66
"2009T2",11704645.3700002,232050.7
"2009T3",11573030.6199998,217316.07
"2009T4",11566119.15,236554.11
"2010T1",11506447.49,229840.69
"2010T2",11510612.7899999,249103.72
"2010T3",11490224.8,233835.51
"2010T4",11474772.6300001,244497.31
"2011T1",11356334.55,236757.97
"2011T2",11349252.9799999,285405.13
"2011T3",11241750.58,236336.2
"2011T4",11119211.06,274433.69
"2012T1",10999228.8299998,261246.86
"2012T2",10998452.0200003,273381.87
"2012T3",10850036.8499999,236744.2
"2012T4",10768011.5200002,260703.07
"2013T1",10660144.79,257450.14
"2013T2",10556556.06,294609.809999999
"2013T3",10497138.98,229378.34
"2013T4",10486753.6699999,272426.88
"2014T1",10455033.3099999,252570.02
"2014T2",10587727.36,300061.35
"2014T3",10615697.0900001,245382.47
"2014T4",10685460.62,286520.31
"2015T1",10740145.93,257117.65
"2015T2",10753007.63,305034.26
"2015T3",10783325.6400002,255864.48
"2015T4",10841685.5900001,300912.13
"2016T1",10903435.92,291512.66
"2016T2",10952340.5700002,329007.31
"2016T3",10952460.8500002,299819.680000001
"2016T4",10975573.5799998,336906
"2017T1",11046015.1099999,344485.05
"2017T2",11118775.57,365336.57
"2017T3",11233372.0500001,318225.15
"2017T4",11339745.87,330645.13
"2018T1",11351737.4499998,317214.69
"2018T2",11506059.2499999,394259.25
"2018T3",11580928.93,344722.9
"2018T4",11681666.47,352449.69
"2019T1",11789072.3199999,334956.34
"2019T2",11881765.62,406723.899999999
"2019T3",11949878.0100002,363694.19
"2019T4",12062541.5099999,385747
"2020T1",12087818.08,329731.9
"2020T2",11714430.3399999,341738.72
"2020T3",11881759.2699998,332730.91
"2020T4",11900303.1399999,340488.58
"2021T1",11935139.4800001,336980.52
"2021T2",12010440.1500002,359787.720000001
"2021T3",12180598.5199999,334612.71
"2021T4",12292416.47,373358.05
"2022T1",12461212.15,368631.84
"2022T2",12930322.3000001,516222.25
"2022T3",13365703.6599999,525056.76
"2022T4",13662669.9600001,594155.399999999
"2023T1",13784182.11,566426.86
"2023T2",14065363.93,695313.49
