"act1","sector","40","Mas de 40","Menos de 40"
0,"Agricultura & co",60.8738400394502,17.2050285383489,21.9211314222008
1,"Industria alimentacion, textil, cuero...",83.3129298983271,6.07281998548309,10.6142501161898
2,"Mineria, petroleo, quimica...",82.8869755857809,6.7779745138892,10.3350499003299
3,"Fabricac. Maquinaria",86.0786852309154,6.66655371203757,7.25476105704704
4,"Construcción",85.0030454958595,7.82215630907893,7.17479819506161
5,"Comercio y hosteleria",61.8854468644395,8.14441833839727,29.9701347971633
6,"Transporte y almacén",63.7633504874372,14.7843204451243,21.4523290674386
7,"Finanzas",55.679113287479,7.88195475550367,36.4389319570173
8,"Admón. Publica",21.6981968059869,6.43561174751091,71.8661914465022
9,"Servicios profesionales y otros",38.0645693622936,9.08247969699642,52.85295094071
