"fecha","ocupados"
"2005T1",18.7360667399997
"2005T2",19.1605806900004
"2005T3",19.4220875000001
"2005T4",19.5092152300005
"2006T1",19.5784399899994
"2006T2",19.8915975699997
"2006T3",20.0909570900001
"2006T4",20.1953918400002
"2007T1",20.26752467
"2007T2",20.5809438699994
"2007T3",20.7533940100002
"2007T4",20.7178889199995
"2008T1",20.6199526199997
"2008T2",20.64694803
"2008T3",20.5564450000004
"2008T4",20.0552818900001
"2009T1",19.2844421600004
"2009T2",19.15424632
"2009T3",19.0984366599995
"2009T4",18.8904292200001
"2010T1",18.6528535699997
"2010T2",18.7511065499999
"2010T3",18.8190055199999
"2010T4",18.6749207799998
"2011T1",18.4261572800002
"2011T2",18.6219640000003
"2011T3",18.484476
"2011T4",18.1530291899999
"2012T1",17.76510747
"2012T2",17.7584896600002
"2012T3",17.6677005099998
"2012T4",17.33936172
"2013T1",17.03018834
"2013T2",17.16056492
"2013T3",17.2300495900001
"2013T4",17.1352266499999
"2014T1",16.9505960799999
"2014T2",17.3530124399999
"2014T3",17.5040049400001
"2014T4",17.5690807600003
"2015T1",17.4547873599998
"2015T2",17.8665381
"2015T3",18.04870587
"2015T4",18.0941595
"2016T1",18.0296056500002
"2016T2",18.3009744299997
"2016T3",18.5275234499999
"2016T4",18.5080945099996
"2017T1",18.4382647999998
"2017T2",18.8133111600004
"2017T3",19.0492133099998
"2017T4",18.9983527699999
"2018T1",18.8742052100001
"2018T2",19.3440662999999
"2018T3",19.52798025
"2018T4",19.5645531900001
"2019T1",19.4711316599998
"2019T2",19.8049096000001
"2019T3",19.87432349
"2019T4",19.96688392
"2020T1",19.6812646199999
"2020T2",18.6072201899999
"2020T3",19.1768693600001
"2020T4",19.34428701
"2021T1",19.2067677700001
"2021T2",19.6716555100001
"2021T3",20.0310006100001
"2021T4",20.1849473799999
"2022T1",20.0847263900004
"2022T2",20.4680252099997
"2022T3",20.5457250899997
"2022T4",20.46385591
"2023T1",20.4527576199999
"2023T2",21.05670663
"2023T3",21.2658536600001
